name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,discount_end,discount,actual_price,,
Fastrack Reflex Play|1.3” AMOLED Display Smart Watch with AOD|Premium Metallic Body|Animated Watchfaces|in-Built Games|BP...,accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MXBWGALUL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Reflex-AMOLED-Display-Watchfaces/dp/B0B4NSK3L1/ref=sr_1_5?qid=1679155582&s=watches&sr=1-5,3.6,3013,4477.2,3495,0.56,7995,0.562851782363977,4477.2
"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, ...",accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81gU0NVV5WL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Smartwatch-stainless-Bluetooth-calling/dp/B08FWGZB8Q/ref=sr_1_6?qid=1679155582&s=watches&sr=1-6,3.9,12329,3699,14795,0.2,18495,0.200054068667207,3699
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71a4ZQNqTiL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_4?qid=1679128058&s=electronics&sr=1-4,4.2,8877,9847,12990,0.43,22900,0.432751091703057,9847
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"tv, audio & cameras",Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81tD7OZ0RXL._AC_UL320_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_5?qid=1679128058&s=electronics&sr=1-5,4.2,34286,10999.56,13999,0.44,24999,0.440017600704028,10999.56
IMPERIOUS - THE ROYAL WAY Analogue Women's Watch (Black Dial),accessories,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51LTJjshaIL._AC_UL320_.jpg,https://www.amazon.in/Imperious-Analog-Black-Womens-Watch/dp/B07G9GJRF6/ref=sr_1_9?qid=1679155582&s=watches&sr=1-9,3.9,6137,1239.38,759,0.62,1999,0.620310155077539,1239.38
MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection |...,"tv, audio & cameras",Security Cameras,https://m.media-amazon.com/images/I/51hkb1CYemL._AC_UL320_.jpg,https://www.amazon.in/MI-Wireless-Security-Detection-Enhanced/dp/B0B51WPT24/ref=sr_1_4?qid=1679131945&s=electronics&sr=1-4,4.3,46362,1529.66,2960,0.34,4499,0.342076016892643,1529.66
CP PLUS 2MP Full HD Smart Wi-f CCTV Home Security Camera |360° with Pan Tilt | View & Talk | Motion Alert | Night Vision |...,"tv, audio & cameras",Security Cameras,https://m.media-amazon.com/images/I/31Nk80-hUUL._AC_UL320_.jpg,https://www.amazon.in/CP-PLUS-Security-Distance-CP-E25A/dp/B0BBV83YF9/ref=sr_1_5?qid=1679131945&s=electronics&sr=1-5,3.6,1467,1998,1692,0.54,3700,0.542702702702703,1998
"Godrej 180 L 4 Star Direct Cool Single Door Refrigerator (RD EDGENEO 207D THF AQ BL, Aqua Blue, Turbo Cooling Technology, ...",appliances,Refrigerators,https://m.media-amazon.com/images/I/61eU1t-ag2L._AC_UL320_.jpg,https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-EDGENEO-Technology/dp/B0BV27HC9R/ref=sr_1_7?qid=1679134275&s=kitchen&sr=1-7,4.2,1282,4367.7,14690,0.23,18990,0.226434965771459,4367.7
Baggit Women's Wallet,bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Z23YwsPoL._AC_UL320_.jpg,https://www.amazon.in/Baggit-Autumn-Leather-Harmonium-Prisley/dp/B08WWLK9N7/ref=sr_1_340?qid=1679219260&s=luggage&sr=1-340,3.9,59,382.7,509,0.43,890,0.428089887640449,382.7
Heart Home Hand Purse|Embroidery Stylish Silk Small Wallet Purse with Back Side Zip (Pink),bags & luggage,Wallets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71JvwwYoQlL._AC_UL320_.jpg,https://www.amazon.in/Heart-Home-Embroidery-Stylish-Wallet/dp/B0BF9KD3C1/ref=sr_1_341?qid=1679219260&s=luggage&sr=1-341,4.5,3,113.43,85,0.57,199,0.57286432160804,113.43
Billford Men Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/71a3OycnGYL._AC_UL320_.jpg,https://www.amazon.in/Billford-Mens-Jeans-2_BFD-JJ3_Light-Blue_32/dp/B0B86GR5MK/ref=sr_1_15?qid=1679141646&s=apparel&sr=1-15,3.5,263,2369.21,629,0.79,2999,0.79026342114038,2369.21
Urbano Fashion Men's Slim Fit Black Stretch Jeans,men's clothing,Jeans,https://m.media-amazon.com/images/I/611hFiiUv4L._AC_UL320_.jpg,https://www.amazon.in/Urbano-Fashion-Black-Stretch-eps-black-32-07/dp/B07DFPCD93/ref=sr_1_16_mod_primary_new?qid=1679141646&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-16,3.7,5388,599.5,599,0.5,1199,0.500417014178482,599.5
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61kmCas5OCL._AC_UL320_.jpg,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_3?qid=1679220849&s=luggage&sr=1-3,4,17985,503.37,299,0.63,799,0.625782227784731,503.37
"Genie Iridescence School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy Coll...",kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71HWNZIjMvL._AC_UL320_.jpg,https://www.amazon.in/Genie-Iridescence-Multicolor-Backpack-Resistant/dp/B084VQLJL8/ref=sr_1_4?qid=1679220849&s=luggage&sr=1-4,4,2679,1450.18,899,0.62,2339,0.615647712697734,1450.18
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",kids' fashion,School Bags,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hNHEiIfYL._AC_UL320_.jpg,https://www.amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_5?qid=1679220849&s=luggage&sr=1-5,3.9,894,1310.43,999,0.57,2299,0.565463244889082,1310.43
"LAKMÉ Face It Compact, Marble, 9 g",beauty & health,Make-up,https://m.media-amazon.com/images/I/71Cmq6Lu5gL._AC_UL320_.jpg,https://www.amazon.in/LAKM%C3%89-RCCP100-Face-Compact-Marble/dp/B09C3PX6DY/ref=sr_1_49?qid=1679215166&s=beauty&sr=1-49,4.1,860,27,153,0.15,180,0.15,27
"Colorbar cosmetics Intensely Rich Kajal-Creatively, Black, 0.30 g",beauty & health,Make-up,https://m.media-amazon.com/images/I/41PxxbxOHZL._AC_UL320_.jpg,https://www.amazon.in/Colorbar-cosmetics-Intensely-Kajal-Creatively-Black/dp/B08J883DNC/ref=sr_1_50?qid=1679215166&s=beauty&sr=1-50,4,3778,59.5,110,0.35,170,0.352941176470588,59.5
BATA womens Ortho Comfit Ladies Flip-Flops,women's shoes,Shoes,https://m.media-amazon.com/images/I/716iF5ATTbL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Comfit-Flip-Flops-5-5775999/dp/B07YGMXGFM/ref=sr_1_3?qid=1679211495&s=shoes&sr=1-3,4.3,7353,122.59,176,0.41,299,0.411371237458194,122.59
Campus Women's Alexa Running Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/I/61MGVjbYydL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Running-Shoes-7-5G-663/dp/B07SYPMHB7/ref=sr_1_4?qid=1679211495&s=shoes&sr=1-4,4.2,7143,815.52,883,0.48,1699,0.480282519128899,815.52
ASIAN Women's Trendy-21 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Women's & Girl's,women's shoes,Shoes,https://m.media-amazon.com/images/I/61M45eURF2L._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Trendy-21-Sneaker-Changing-Lightwight/dp/B0BJF9BT6T/ref=sr_1_5?qid=1679211495&s=shoes&sr=1-5,3.6,393,299.7,699,0.3,999,0.3003003003003,299.7
